Config_Name,Category,Type,P-AP,P-AUPRO,P-AUROC,P-F1,R-MissRate,R-FP-RegionCount,R-PixelCoverage,R-FPR,I-AUROC,I-AP,I-F1,Elapsed_s
00_Raw_Base_672_Baseline,0_Baseline,baseline,0.48298901319503784,0.9389237304701883,0.9844638109207153,0.5190108418464661,0.002107728337236534,22800,0.9841980500802764,0.9640919131343001,0.9152224824355971,0.989060358788439,0.9687248898790964,1.12
"10_GF_Self (r=2, eps=1e-04)",1A_Guided_Self,guided_self,0.48707810044288635,0.9297854991279769,0.9850948452949524,0.5217275023460388,0.0029274004683840747,12055,0.9834873787327567,0.93355858703925,0.9163231850117096,0.9892713367685684,0.967068223112533,1.06
"10_GF_Self (r=2, eps=1e-03)",1A_Guided_Self,guided_self,0.4869406223297119,0.929308776684204,0.9851366877555847,0.5203362703323364,0.0029274004683840747,11698,0.98372449372094,0.9315540769195415,0.9155971896955504,0.9892025635092184,0.9662378921407992,1.06
"10_GF_Self (r=2, eps=1e-02)",1A_Guided_Self,guided_self,0.4874269962310791,0.9288573859513021,0.9851336479187012,0.5195979475975037,0.0029274004683840747,11652,0.9837782784160205,0.9313036626704925,0.9156908665105387,0.9892297383348373,0.9662378921407992,1.08
"10_GF_Self (r=4, eps=1e-04)",1A_Guided_Self,guided_self,0.487429141998291,0.9239271744043703,0.9848001599311829,0.5224547386169434,0.004566744730679157,7260,0.9806427562130589,0.8923852005277709,0.9165807962529274,0.9893825951809458,0.9656823123650908,1.03
"10_GF_Self (r=4, eps=1e-03)",1A_Guided_Self,guided_self,0.47738710045814514,0.9181287790343379,0.9842410087585449,0.5129547715187073,0.006206088992974239,6181,0.9799687576408205,0.8775145769983751,0.9114754098360656,0.9887582711168215,0.9633757462194232,1.05
"10_GF_Self (r=4, eps=1e-02)",1A_Guided_Self,guided_self,0.4710446000099182,0.9196851919836787,0.983919620513916,0.5047622919082642,0.006206088992974239,6033,0.9798141686256735,0.8750849867085212,0.9095784543325526,0.9885377773772346,0.9626093374737139,1.07
"10_GF_Self (r=8, eps=1e-04)",1A_Guided_Self,guided_self,0.4857389032840729,0.925194983873479,0.9837723970413208,0.5208595991134644,0.00702576112412178,5034,0.9738699091260089,0.8433673824440555,0.9152927400468384,0.9892886989762415,0.9641433763337116,1.08
"10_GF_Self (r=8, eps=1e-03)",1A_Guided_Self,guided_self,0.455936074256897,0.8799431434678157,0.9805784821510315,0.4955829679965973,0.02221896955503513,2961,0.9514833489234938,0.7652593672265804,0.9003981264637002,0.9875407491998527,0.9572107266005485,1.09
"10_GF_Self (r=8, eps=1e-02)",1A_Guided_Self,guided_self,0.42386794090270996,0.8567640974406113,0.9782405495643616,0.4625604748725891,0.030142466822794686,2734,0.9355040176663207,0.755308366496891,0.8933723653395785,0.9866852842322956,0.9555555056059487,1.09
"11_GF_Gray (r=2, eps=1e-04)",1B_Guided_Gray,guided_gray,0.49082377552986145,0.9317273242515008,0.9850156307220459,0.5212512612342834,0.0029274004683840747,14477,0.9838268347142431,0.94429668890783,0.9147072599531617,0.9890511845725211,0.9662378921407992,1.2
"11_GF_Gray (r=2, eps=1e-03)",1B_Guided_Gray,guided_gray,0.4905974268913269,0.9357683954894365,0.9850194454193115,0.5210050344467163,0.0029274004683840747,13834,0.9838414710333141,0.9419360000435909,0.9147072599531617,0.9890470531037523,0.9662920848532344,1.12
"11_GF_Gray (r=2, eps=1e-02)",1B_Guided_Gray,guided_gray,0.48873862624168396,0.9321619125245961,0.985019326210022,0.5199601650238037,0.0029274004683840747,12533,0.9838355273480456,0.9359009064290708,0.9148243559718969,0.9890731812387539,0.9662378921407992,1.12
"11_GF_Gray (r=4, eps=1e-04)",1B_Guided_Gray,guided_gray,0.480690598487854,0.9202340814819197,0.9837889671325684,0.5103111863136292,0.0053864168618266975,12430,0.9810017210307329,0.9323318946657112,0.909063231850117,0.9884227110469332,0.9633757462194232,1.13
"11_GF_Gray (r=4, eps=1e-03)",1B_Guided_Gray,guided_gray,0.4798164963722229,0.9147056759222739,0.9837974309921265,0.5098274350166321,0.0053864168618266975,11205,0.9812161806133719,0.9257379488693731,0.9089227166276348,0.9883991822670166,0.9633757462194232,1.13
"11_GF_Gray (r=4, eps=1e-02)",1B_Guided_Gray,guided_gray,0.4752610921859741,0.9168528330398366,0.9837781190872192,0.5075000524520874,0.006206088992974239,8328,0.9804622531804194,0.9033596530126127,0.9084074941451991,0.9883444530627544,0.9626093374737139,1.14
"11_GF_Gray (r=8, eps=1e-04)",1B_Guided_Gray,guided_gray,0.4344620406627655,0.8508032861716119,0.9783350229263306,0.46973735094070435,0.016481264637002342,27419,0.9422170465153488,0.9612591878571212,0.8934660421545668,0.9866432304095379,0.9571428071932503,1.17
