Config_Name,Bank_Choice,w_ano,w_good,w_neg,knn_k,hard_ano_th,hard_neg_th,supp_factor,mode,tau,morph_open_k,bg_floor_pct,R-FP-RegionCount,R-MissRate,R-PixelCoverage,P-AP,P-AUPRO,P-AUROC,P-F1,I-AUROC,I-AP,I-F1,Elapsed_s
"Grid-Weight [wa=2.0, wg=0.8, wn=0.5]",combined,2.0,0.8,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22843.0,0.002107728337236534,0.9842617296055056,0.4839779734611511,0.7008552035297049,0.9845855236053467,0.52,0.9195316159250584,0.9896127263343102,0.9679486679738891,2.9566
"Grid-Weight [wa=2.0, wg=1.0, wn=0.5]",combined,2.0,1.0,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22843.0,0.002107728337236534,0.9842617296055056,0.48388126492500305,0.7007402235829303,0.9845858216285706,0.52,0.9191334894613583,0.9895531959946429,0.9687248898790964,2.8896
"Grid-Weight [wa=1.5, wg=0.8, wn=0.5]",combined,1.5,0.8,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22843.0,0.002107728337236534,0.9842617296055056,0.48381567001342773,0.7006407965779247,0.9845802187919617,0.52,0.9186416861826698,0.9894931978354539,0.9687248898790964,2.9304
"Grid-Weight [wa=2.0, wg=1.2, wn=0.5]",combined,2.0,1.2,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22840.0,0.002107728337236534,0.9842571758714438,0.48377546668052673,0.7006066355592139,0.9845813512802124,0.52,0.9183138173302108,0.9894440110823916,0.9687248898790964,2.9472
"Softmax-Fusion [tau=0.05, wn=1.5]",combined,1.2,1.0,1.5,3,0.15,,1.2,softmax,0.05,0,0.0,20648.0,0.003747072599531616,0.9819983431661773,0.4819861650466919,0.6727660038361126,0.9843522906303406,0.52,0.9181967213114755,0.9893976468646208,0.9704708199468945,3.0863
"Grid-Weight [wa=2.0, wg=1.0, wn=0.8]",combined,2.0,1.0,0.8,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22843.0,0.002107728337236534,0.9842526221373817,0.48373788595199585,0.7005929440414068,0.9845681190490723,0.52,0.9178454332552692,0.9894057073430327,0.9679486679738891,2.8672
"Grid-Weight [wa=2.0, wg=1.2, wn=0.8]",combined,2.0,1.2,0.8,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22840.0,0.002107728337236534,0.9842526221373817,0.48371607065200806,0.7005502839308703,0.9845724701881409,0.52,0.9177985948477753,0.9893833922940449,0.9687248898790964,2.8588
"Grid-Weight [wa=2.0, wg=1.5, wn=0.5]",combined,2.0,1.5,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22773.0,0.002107728337236534,0.9842505780672293,0.48362427949905396,0.7002241150766525,0.9845715761184692,0.52,0.917728337236534,0.9893684450785163,0.9687248898790964,2.8821
"Grid-Weight [wa=1.5, wg=1.0, wn=0.5]",combined,1.5,1.0,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22820.0,0.002107728337236534,0.9842551318012913,0.48369908332824707,0.7003292377604748,0.9845767617225647,0.52,0.917704918032787,0.9893666156330749,0.9687248898790964,2.9261
"Grid-Weight [wa=2.0, wg=1.5, wn=0.8]",combined,2.0,1.5,0.8,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22773.0,0.002107728337236534,0.9842505780672293,0.4836117625236511,0.7002136337682957,0.9845702648162842,0.52,0.9176580796252929,0.9893601626881279,0.9687248898790964,2.8626
