Config_Name,Category,Method,Param_Detail,Total_ROIs,ROIs_per_Mid_Img,R-FP-RegionCount,R-MissRate,R-PixelCoverage,R-FPR,P-AUROC,P-AP,P-F1,P-AUPRO,I-AUROC,I-AP,I-F1,Elapsed_s
0.0 Baseline (Raw Stage-1 15k Model),0_Baselines,Raw_Stage1,No 2nd Stage,0,0.0,22800,0.002107728337236534,0.9841980500802764,0.9640919131343001,0.9844638712405288,0.4829890051328682,0.5190108621983003,0.9389237304701883,0.9155737704918033,0.9891139329047045,0.9687248898790964,0.0
0.1 Standard 2-Stage (Distance Margin),0_Baselines,Distance_Margin,Margin = (dg-da)/(dg+da),5838,33.6,22118,0.002107728337236534,0.9838368068962322,0.9624652594620526,0.9849309326328664,0.487057800176111,0.5221085199062441,0.9424084656391414,0.9241451990632318,0.9900728066739617,0.9728867123972055,9.27
"1. vMF KDE (sigma=0.05, beta=0.5)",1_vMF_KDE_Bandwidth_Sweep,vMF_KDE,"sigma=0.05, beta=0.5, Tanh",5838,33.6,21358,0.003747072599531616,0.9826289831474249,0.9596776729005337,0.9849755652084091,0.48718511816363574,0.5221995769157708,0.9417578366469459,0.9147775175644028,0.9890956115587871,0.9640287270091226,8.78
"1. vMF KDE (sigma=0.08, beta=0.5)",1_vMF_KDE_Bandwidth_Sweep,vMF_KDE,"sigma=0.08, beta=0.5, Tanh",5838,33.6,21442,0.0029274004683840747,0.9834486552785724,0.9601174994650482,0.9849794570062248,0.4872242868644125,0.5221995769157708,0.9419603513705536,0.9165573770491803,0.9892621529004416,0.965791517266872,8.92
"1. vMF KDE (sigma=0.10, beta=0.5)",1_vMF_KDE_Bandwidth_Sweep,vMF_KDE,"sigma=0.10, beta=0.5, Tanh",5838,33.6,21509,0.0029274004683840747,0.9834486552785724,0.9605160091530855,0.9849630411509499,0.48721635817419107,0.5222016530622153,0.942069200631045,0.9181967213114753,0.9894381764041636,0.9671210406409249,8.63
"1. vMF KDE (sigma=0.12, beta=0.5)",1_vMF_KDE_Bandwidth_Sweep,vMF_KDE,"sigma=0.12, beta=0.5, Tanh",5838,33.6,21651,0.0029274004683840747,0.9834486552785724,0.9610738536754577,0.984941295992938,0.48719189493620785,0.5221928399267624,0.9421425618891934,0.9208665105386418,0.9897421722154267,0.9687248898790964,8.4
"1. vMF KDE (sigma=0.15, beta=0.5)",1_vMF_KDE_Bandwidth_Sweep,vMF_KDE,"sigma=0.15, beta=0.5, Tanh",5838,33.6,21968,0.002107728337236534,0.9838584913441462,0.9620881734575347,0.9849199653040445,0.4871543364574188,0.5221880025052594,0.9427108983671509,0.9244496487119438,0.9901578301833694,0.9703762510677902,8.43
"1. vMF KDE (sigma=0.20, beta=0.5)",1_vMF_KDE_Bandwidth_Sweep,vMF_KDE,"sigma=0.20, beta=0.5, Tanh",5838,33.6,22361,0.002107728337236534,0.9842683274097199,0.9631759575692405,0.9849227826020907,0.4871134975497865,0.5221297729655625,0.9429191304794967,0.925152224824356,0.9902260044122897,0.9697451729710156,8.07
"1. vMF KDE (sigma=0.30, beta=0.5)",1_vMF_KDE_Bandwidth_Sweep,vMF_KDE,"sigma=0.30, beta=0.5, Tanh",5838,33.6,22632,0.002107728337236534,0.9842509798513887,0.9637504986582751,0.9849207716078021,0.4870483899915728,0.5221047195087279,0.9427254189920274,0.924871194379391,0.9901738922059502,0.9721115038237514,8.21
"1. vMF KDE (sigma=0.50, beta=0.5)",1_vMF_KDE_Bandwidth_Sweep,vMF_KDE,"sigma=0.50, beta=0.5, Tanh",5838,33.6,22756,0.002107728337236534,0.984246642961806,0.9640134279934541,0.9849182075218308,0.48701717583781573,0.52207931307713,0.9425523711490706,0.9246604215456674,0.9901408224982657,0.9721115038237514,7.93
"2. Local Top-3 vMF KDE (sigma=0.15, beta=0.5)",2_Local_TopK_KDE,Local_vMF_KDE,"Top-k=3, sigma=0.15, beta=0.5",5838,33.6,21532,0.0029274004683840747,0.9834486552785724,0.9606023346016535,0.9849733649247023,0.4871935977487086,0.5221871408688372,0.9421193724305698,0.9200702576112413,0.9895970192389327,0.9695023577264286,8.6
