Config_Name,Category,Type,P-AP,P-AUPRO,P-AUROC,P-F1,R-MissRate,R-FP-RegionCount,R-PixelCoverage,R-FPR,I-AUROC,I-AP,I-F1,Elapsed_s
00_Raw_Base_672_Baseline,0_Baseline,baseline,0.48298901319503784,0.9389237304701883,0.9844639301300049,0.5190108418464661,0.002107728337236534,22800,0.9841980500802764,0.9640919131343001,0.9152224824355971,0.989060358788439,0.9687248898790964,1.18
10_GSA_Linear (alpha=0.2),1_Gradient_Saliency,attenuation,0.45978477597236633,0.9349938363074396,0.9839999675750732,0.503787636756897,0.002107728337236534,33784,0.9803823718685519,0.9753945386628499,0.9167915690866512,0.9893253139784723,0.9663461038713249,1.34
10_GSA_Linear (alpha=0.4),1_Gradient_Saliency,attenuation,0.424392431974411,0.9243094547753284,0.982696533203125,0.4766775667667389,0.003747072599531616,60990,0.9709768918731928,0.9851783152260237,0.9150351288056207,0.9891303329509342,0.9655171914027534,1.09
10_GSA_Linear (alpha=0.6),1_Gradient_Saliency,attenuation,0.3787204623222351,0.8997191587634621,0.9793408513069153,0.4325706362724304,0.004566744730679157,90955,0.9436401865200635,0.9889750947346803,0.9108430913348945,0.988620728092505,0.9632587359751581,1.06
10_GSA_Linear (alpha=0.8),1_Gradient_Saliency,attenuation,0.3262682855129242,0.8398512143434133,0.9675619602203369,0.3938944935798645,0.009484777517564403,116838,0.8588866692381234,0.9899675054686867,0.906135831381733,0.9880224955858564,0.9624300059859412,1.04
10_GSA_Exp (alpha=0.2),1_Gradient_Saliency,attenuation,0.4620097577571869,0.9355093603255016,0.9840458035469055,0.5054318904876709,0.002107728337236534,32171,0.9807149801101479,0.9743303158323606,0.9166510538641686,0.9893075889239952,0.9663461038713249,1.05
10_GSA_Exp (alpha=0.4),1_Gradient_Saliency,attenuation,0.43571704626083374,0.9286843053840751,0.9831893444061279,0.4868644177913666,0.003747072599531616,53330,0.9736234854531174,0.983311824815199,0.9153864168618268,0.9891520745050288,0.9662920848532344,1.03
10_GSA_Exp (alpha=0.6),1_Gradient_Saliency,attenuation,0.4071618914604187,0.9174181530166285,0.9818540215492249,0.46378496289253235,0.003747072599531616,76104,0.964515303230906,0.9873967590921569,0.9136065573770492,0.9889681757251736,0.9646869484166372,1.02
10_GSA_Exp (alpha=0.8),1_Gradient_Saliency,attenuation,0.37833064794540405,0.9020759418836239,0.9799759984016418,0.4371854364871979,0.004566744730679157,96624,0.9468348492114471,0.9894470003945869,0.9105386416861827,0.9886000444840031,0.9632587359751581,1.03
10_GSA_Sigmoid (alpha=0.2),1_Gradient_Saliency,attenuation,0.4579872786998749,0.9341646454368251,0.9839270114898682,0.5024012327194214,0.002107728337236534,35249,0.9805189922953418,0.976384664929219,0.9166042154566745,0.9892992369846707,0.9663461038713249,1.06
10_GSA_Sigmoid (alpha=0.4),1_Gradient_Saliency,attenuation,0.420049786567688,0.9237315953099867,0.9823230504989624,0.4712457060813904,0.003747072599531616,61586,0.971013506273905,0.9855885798894151,0.9148477751756441,0.9891048870108216,0.9663461038713249,1.15
10_GSA_Sigmoid (alpha=0.6),1_Gradient_Saliency,attenuation,0.3726351857185364,0.8972069676670874,0.9781661033630371,0.41998666524887085,0.006206088992974239,87691,0.9404366809392242,0.9889650571495661,0.9103278688524591,0.9885558645865409,0.9629629129786538,1.09
10_GSA_Sigmoid (alpha=0.8),1_Gradient_Saliency,attenuation,0.3204424977302551,0.8311354911107451,0.9645240306854248,0.3835446834564209,0.009484777517564403,109106,0.8501964900823684,0.9893849533523985,0.9062763466042155,0.9880141416178969,0.9613526070205217,1.1
"11_GSA_Power (gamma=0.5, alpha=0.4)",1_Gradient_Saliency,attenuation,0.4179854393005371,0.9233539467182736,0.9824775457382202,0.47682079672813416,0.003747072599531616,61077,0.964964587204321,0.9843219398017403,0.9146604215456675,0.9890990729043994,0.9647999500288026,1.09
"11_GSA_Power (gamma=0.5, alpha=0.6)",1_Gradient_Saliency,attenuation,0.35698336362838745,0.8947494188809167,0.9790992736816406,0.42660436034202576,0.00879850300776048,90047,0.9217083785136821,0.987090482897461,0.9089461358313817,0.9884610323440908,0.9617224380750365,1.06
"11_GSA_Power (gamma=1.5, alpha=0.4)",1_Gradient_Saliency,attenuation,0.4321894645690918,0.9263675314534868,0.9829922318458557,0.47930675745010376,0.0029274004683840747,52159,0.9738489112364875,0.9834407279432501,0.9160187353629977,0.9892475535968421,0.9662920848532344,1.09
"11_GSA_Power (gamma=1.5, alpha=0.6)",1_Gradient_Saliency,attenuation,0.3956020772457123,0.9058059914155531,0.9798338413238525,0.4441176950931549,0.003747072599531616,73697,0.952226192375521,0.9875245793037121,0.9130913348946136,0.988889888189509,0.9654617974097217,1.06
"11_GSA_Power (gamma=2.0, alpha=0.4)",1_Gradient_Saliency,attenuation,0.4386402368545532,0.9268467568030669,0.9832401275634766,0.48244917392730713,0.002107728337236534,45546,0.9759966614667579,0.9813380861481565,0.9163934426229509,0.9892896522468434,0.9663461038713249,1.09
"11_GSA_Power (gamma=2.0, alpha=0.6)",1_Gradient_Saliency,attenuation,0.40804940462112427,0.9112781837248511,0.9802696108818054,0.45398786664009094,0.0029274004683840747,60090,0.9570690254470898,0.9853910611747846,0.9143559718969555,0.9890386796060109,0.9655724079933307,1.05
20_CAA_Isophote (alpha_c=0.2),2_Curvature_Adaptive,attenuation,0.47861289978027344,0.9374216819206194,0.9842230677604675,0.5165969729423523,0.002107728337236534,28521,0.9822722598862639,0.9714505631756154,0.9159016393442624,0.9891367374029957,0.9687248898790964,1.06
20_CAA_Isophote (alpha_c=0.4),2_Curvature_Adaptive,attenuation,0.4670946002006531,0.9359344654630395,0.9833093881607056,0.5068532824516296,0.002107728337236534,36537,0.9785128395523706,0.977633457439931,0.9156440281030446,0.9890846267596634,0.9686746488153443,1.11
20_CAA_Isophote (alpha_c=0.6),2_Curvature_Adaptive,attenuation,0.45036089420318604,0.918757492547329,0.9808367490768433,0.49389582872390747,0.0029274004683840747,46650,0.971094976240507,0.9818585843273837,0.9145199063231851,0.9889189013595504,0.9678972212898315,1.13
20_CAA_Isophote (alpha_c=0.8),2_Curvature_Adaptive,attenuation,0.43116888403892517,0.9008478953612322,0.9727071523666382,0.4830465614795685,0.0029274004683840747,57945,0.9490416112029421,0.9848501979180583,0.9135597189695551,0.9887755705306235,0.9678972212898315,1.14
20_CAA_Hessian (alpha_c=0.2),2_Curvature_Adaptive,attenuation,0.46548721194267273,0.9360960159914989,0.9837942123413086,0.5076776742935181,0.002107728337236534,25682,0.982058813625856,0.968416919817817,0.9140281030444964,0.9888904963570447,0.9678972212898315,1.14
20_CAA_Hessian (alpha_c=0.4),2_Curvature_Adaptive,attenuation,0.44144323468208313,0.9167191142493442,0.981827437877655,0.48181116580963135,0.0029274004683840747,27208,0.975860669409787,0.9699835158044469,0.9121311475409836,0.9886364701095683,0.9663999500288025,1.12
20_CAA_Hessian (alpha_c=0.6),2_Curvature_Adaptive,attenuation,0.4151780605316162,0.8937806637120579,0.9764314889907837,0.46270352602005005,0.0030366900858704135,28379,0.9559929408635303,0.9715390634375275,0.9102576112412178,0.9883831208820117,0.9655724079933307,1.14
20_CAA_Hessian (alpha_c=0.8),2_Curvature_Adaptive,attenuation,0.39147213101387024,0.8323916525782772,0.9557410478591919,0.4550907015800476,0.0034465261514441846,29301,0.8763936951279219,0.9723519939580236,0.9096487119437938,0.9882878179029055,0.9655724079933307,1.12
20_CAA_Laplacian (alpha_c=0.2),2_Curvature_Adaptive,attenuation,0.4574366807937622,0.9355344991602237,0.9839481115341187,0.5039158463478088,0.002107728337236534,39380,0.9799719376926782,0.9785671826882633,0.9163231850117096,0.9892526600579338,0.9664536241540718,1.06
20_CAA_Laplacian (alpha_c=0.4),2_Curvature_Adaptive,attenuation,0.4197666645050049,0.9234505959025915,0.9822911024093628,0.47330787777900696,0.005495706479313036,72191,0.9677335426699534,0.9874043806080213,0.9147775175644028,0.9890631071696883,0.9663999500288025,1.06
20_CAA_Laplacian (alpha_c=0.6),2_Curvature_Adaptive,attenuation,0.37283971905708313,0.8933439562587833,0.977790117263794,0.42592525482177734,0.008979313036690086,107816,0.9357976125089916,0.9907727040051064,0.9118266978922717,0.9887445827410113,0.9647435397687608,1.07
20_CAA_Laplacian (alpha_c=0.8),2_Curvature_Adaptive,attenuation,0.3210128843784332,0.819769169369672,0.9615314602851868,0.3917784094810486,0.014331289893006383,138915,0.8365937020859484,0.9916580010823384,0.909016393442623,0.9883969488376247,0.9623698459436911,1.03
"30_EdgeBand (r=1, th=0.15)",3_Edge_Band_Geometry,attenuation,0.4033876061439514,0.91534677362632,0.9819334745407104,0.46179500222206116,0.004566744730679157,67622,0.956270946043851,0.985060112524782,0.9157377049180329,0.9892649769769524,0.9639133421645817,1.0
"30_EdgeBand (r=1, th=0.25)",3_Edge_Band_Geometry,attenuation,0.39073681831359863,0.9139473324667803,0.9817067384719849,0.4561002850532532,0.004566744730679157,66949,0.9562800535119748,0.984811713407978,0.9149648711943794,0.9892022732710082,0.9639711269685111,1.01
"30_EdgeBand (r=1, th=0.35)",3_Edge_Band_Geometry,attenuation,0.3845272958278656,0.9197552058568822,0.9815279245376587,0.4522525370121002,0.004566744730679157,67810,0.9563080859296903,0.9849572110119531,0.9144496487119438,0.9891466977950302,0.9631409756661966,1.04
